AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0.2|0.6|0.4|23|VI(b) Renal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|58588724|0-14|All Races|Male and Female|1999|||
1.8|2.5|2.1|123|VII Hepatic tumors|58588724|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.7|101|VII(a) Hepatoblastoma|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|58588724|0-14|All Races|Male and Female|1999|||
6.5|7.9|7.2|420|VIII Malignant bone tumors|58588724|0-14|All Races|Male and Female|1999|||
3.7|4.8|4.2|246|VIII(a) Osteosarcomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(b) Chondrosarcomas|58588724|0-14|All Races|Male and Female|1999|||
2.0|2.8|2.3|137|VIII(c) Ewing tumor and related sarcomas of bone|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|19|VIII(d) Other specified malignant bone tumors|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|58588724|0-14|All Races|Male and Female|1999|||
4.4|5.6|5.0|289|X Germ cell, trophoblastic tumors & neoplasms of gonads|58588724|0-14|All Races|Male and Female|1999|||
1.0|1.6|1.3|75|X(a) Intracranial & intraspinal germ cell tumors|58588724|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.3|78|X(b) Malignant extracranial & extragonadal germ cell tumors|58588724|0-14|All Races|Male and Female|1999|||
1.8|2.5|2.1|124|X(c) Malignant gonadal germ cell tumors|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(d) Gonadal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|58588724|0-14|All Races|Male and Female|1999|||
5.2|6.5|5.8|340|XI Other malignant epithelial neoplasms and malignant melanomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(a) Adrenocortical carcinomas|58588724|0-14|All Races|Male and Female|1999|||
1.5|2.2|1.8|108|XI(b) Thyroid carcinomas|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|XI(c) Nasopharyngeal carcinomas|58588724|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.8|102|XI(d) Malignant melanomas|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(e) Skin carcinomas|58588724|0-14|All Races|Male and Female|1999|||
1.3|1.9|1.6|91|XI(f) Other and unspecified carcinomas|58588724|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|30|XII Other and unspecified malignant neoplasms|58588724|0-14|All Races|Male and Female|1999|||
~|~|~|~|XII(a) Other specified malignant tumors|58588724|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|58588724|0-14|All Races|Male and Female|1999|||
146.7|152.9|149.8|8803|All ICCC Groups Combined|58914904|0-14|All Races|Male and Female|2000|||
44.2|47.7|45.9|2695|I Leukemias, myeloproliferative & myelodysplastic diseases|58914904|0-14|All Races|Male and Female|2000|||
35.5|38.6|37.1|2173|I(a) Lymphoid leukemias|58914904|0-14|All Races|Male and Female|2000|||
5.9|7.3|6.6|386|I(b) Acute myeloid leukemias|58914904|0-14|All Races|Male and Female|2000|||
0.6|1.0|0.8|45|I(c) Chronic myeloproliferative diseases|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|58914904|0-14|All Races|Male and Female|2000|||
1.1|1.7|1.4|82|I(e) Unspecified and other specified leukemias|58914904|0-14|All Races|Male and Female|2000|||
15.5|17.6|16.5|977|II Lymphomas and reticuloendothelial neoplasms|58914904|0-14|All Races|Male and Female|2000|||
5.2|6.5|5.8|346|II(a) Hodgkin lymphomas|58914904|0-14|All Races|Male and Female|2000|||
5.4|6.6|6.0|353|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|58914904|0-14|All Races|Male and Female|2000|||
2.4|3.3|2.8|166|II(c) Burkitt lymphoma|58914904|0-14|All Races|Male and Female|2000|||
1.0|1.6|1.3|75|II(d) Miscellaneous lymphoreticular neoplasms|58914904|0-14|All Races|Male and Female|2000|||
0.4|0.9|0.6|37|II(e) Unspecified lymphomas|58914904|0-14|All Races|Male and Female|2000|||
31.7|34.7|33.2|1952|III CNS and misc intracranial and intraspinal neoplasms|58914904|0-14|All Races|Male and Female|2000|||
2.3|3.1|2.7|158|III(a) Ependymomas and choroid plexus tumor|58914904|0-14|All Races|Male and Female|2000|||
16.1|18.2|17.1|1008|III(b) Astrocytomas|58914904|0-14|All Races|Male and Female|2000|||
6.9|8.3|7.6|445|III(c) Intracranial and intraspinal embryonal tumors|58914904|0-14|All Races|Male and Female|2000|||
4.1|5.2|4.7|274|III(d) Other gliomas|58914904|0-14|All Races|Male and Female|2000|||
0.3|0.6|0.4|26|III(e) Other specified intracranial & intraspinal neoplasms|58914904|0-14|All Races|Male and Female|2000|||
0.5|0.9|0.7|41|III(f) Unspecified intracranial and intraspinal neoplasms|58914904|0-14|All Races|Male and Female|2000|||
9.3|10.9|10.1|588|IV Neuroblastoma and other peripheral nervous cell tumors|58914904|0-14|All Races|Male and Female|2000|||
9.2|10.8|9.9|581|IV(a) Neuroblastoma and ganglioneuroblastoma|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|58914904|0-14|All Races|Male and Female|2000|||
9.6|11.3|10.4|615|IX Soft tissue and other extraosseous sarcomas|58914904|0-14|All Races|Male and Female|2000|||
4.7|5.9|5.3|309|IX(a) Rhabdomyosarcomas|58914904|0-14|All Races|Male and Female|2000|||
0.7|1.2|1.0|56|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|IX(c) Kaposi sarcoma|58914904|0-14|All Races|Male and Female|2000|||
2.7|3.7|3.2|188|IX(d) Other specified soft tissue sarcomas|58914904|0-14|All Races|Male and Female|2000|||
0.8|1.3|1.0|61|IX(e) Unspecified soft tissue sarcomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|Not classified by ICCC|58914904|0-14|All Races|Male and Female|2000|||
3.9|5.0|4.4|256|V Retinoblastoma|58914904|0-14|All Races|Male and Female|2000|||
8.1|9.6|8.8|515|VI Renal tumors|58914904|0-14|All Races|Male and Female|2000|||
7.7|9.2|8.4|492|VI(a) Nephroblastoma and other nonepithelial renal tumors|58914904|0-14|All Races|Male and Female|2000|||
0.2|0.6|0.4|22|VI(b) Renal carcinomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|58914904|0-14|All Races|Male and Female|2000|||
1.8|2.6|2.2|129|VII Hepatic tumors|58914904|0-14|All Races|Male and Female|2000|||
1.6|2.3|1.9|113|VII(a) Hepatoblastoma|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(b) Hepatic carcinomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|58914904|0-14|All Races|Male and Female|2000|||
5.9|7.2|6.5|386|VIII Malignant bone tumors|58914904|0-14|All Races|Male and Female|2000|||
3.1|4.1|3.6|211|VIII(a) Osteosarcomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(b) Chondrosarcomas|58914904|0-14|All Races|Male and Female|2000|||
2.2|3.1|2.6|155|VIII(c) Ewing tumor and related sarcomas of bone|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|58914904|0-14|All Races|Male and Female|2000|||
4.4|5.5|4.9|291|X Germ cell, trophoblastic tumors & neoplasms of gonads|58914904|0-14|All Races|Male and Female|2000|||
1.2|1.8|1.5|86|X(a) Intracranial & intraspinal germ cell tumors|58914904|0-14|All Races|Male and Female|2000|||
0.9|1.4|1.1|66|X(b) Malignant extracranial & extragonadal germ cell tumors|58914904|0-14|All Races|Male and Female|2000|||
1.8|2.6|2.2|128|X(c) Malignant gonadal germ cell tumors|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|X(d) Gonadal carcinomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|58914904|0-14|All Races|Male and Female|2000|||
5.2|6.4|5.8|341|XI Other malignant epithelial neoplasms and malignant melanomas|58914904|0-14|All Races|Male and Female|2000|||
0.2|0.5|0.3|18|XI(a) Adrenocortical carcinomas|58914904|0-14|All Races|Male and Female|2000|||
1.6|2.3|1.9|112|XI(b) Thyroid carcinomas|58914904|0-14|All Races|Male and Female|2000|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|58914904|0-14|All Races|Male and Female|2000|||
1.4|2.1|1.8|104|XI(d) Malignant melanomas|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|XI(e) Skin carcinomas|58914904|0-14|All Races|Male and Female|2000|||
1.1|1.8|1.4|85|XI(f) Other and unspecified carcinomas|58914904|0-14|All Races|Male and Female|2000|||
0.5|1.0|0.7|44|XII Other and unspecified malignant neoplasms|58914904|0-14|All Races|Male and Female|2000|||
~|~|~|~|XII(a) Other specified malignant tumors|58914904|0-14|All Races|Male and Female|2000|||
0.4|0.7|0.5|31|XII(b) Other unspecified malignant tumors|58914904|0-14|All Races|Male and Female|2000|||
152.9|159.3|156.1|9328|All ICCC Groups Combined|59815030|0-14|All Races|Male and Female|2001|||
48.7|52.3|50.5|3003|I Leukemias, myeloproliferative & myelodysplastic diseases|59815030|0-14|All Races|Male and Female|2001|||
37.1|40.3|38.7|2294|I(a) Lymphoid leukemias|59815030|0-14|All Races|Male and Female|2001|||
6.6|8.0|7.3|438|I(b) Acute myeloid leukemias|59815030|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.7|100|I(c) Chronic myeloproliferative diseases|59815030|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.6|96|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59815030|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.3|75|I(e) Unspecified and other specified leukemias|59815030|0-14|All Races|Male and Female|2001|||
15.1|17.1|16.1|967|II Lymphomas and reticuloendothelial neoplasms|59815030|0-14|All Races|Male and Female|2001|||
5.3|6.5|5.9|356|II(a) Hodgkin lymphomas|59815030|0-14|All Races|Male and Female|2001|||
5.9|7.2|6.5|390|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59815030|0-14|All Races|Male and Female|2001|||
1.9|2.7|2.3|135|II(c) Burkitt lymphoma|59815030|0-14|All Races|Male and Female|2001|||
0.8|1.3|1.0|61|II(d) Miscellaneous lymphoreticular neoplasms|59815030|0-14|All Races|Male and Female|2001|||
0.3|0.6|0.4|25|II(e) Unspecified lymphomas|59815030|0-14|All Races|Male and Female|2001|||
31.4|34.3|32.8|1957|III CNS and misc intracranial and intraspinal neoplasms|59815030|0-14|All Races|Male and Female|2001|||
2.3|3.2|2.7|164|III(a) Ependymomas and choroid plexus tumor|59815030|0-14|All Races|Male and Female|2001|||
15.3|17.4|16.3|973|III(b) Astrocytomas|59815030|0-14|All Races|Male and Female|2001|||
6.7|8.1|7.3|437|III(c) Intracranial and intraspinal embryonal tumors|59815030|0-14|All Races|Male and Female|2001|||
4.8|6.0|5.4|320|III(d) Other gliomas|59815030|0-14|All Races|Male and Female|2001|||
0.5|0.9|0.7|42|III(e) Other specified intracranial & intraspinal neoplasms|59815030|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|21|III(f) Unspecified intracranial and intraspinal neoplasms|59815030|0-14|All Races|Male and Female|2001|||
10.7|12.5|11.6|693|IV Neuroblastoma and other peripheral nervous cell tumors|59815030|0-14|All Races|Male and Female|2001|||
10.6|12.3|11.4|685|IV(a) Neuroblastoma and ganglioneuroblastoma|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|59815030|0-14|All Races|Male and Female|2001|||
9.7|11.3|10.5|627|IX Soft tissue and other extraosseous sarcomas|59815030|0-14|All Races|Male and Female|2001|||
4.6|5.8|5.2|308|IX(a) Rhabdomyosarcomas|59815030|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.2|75|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|IX(c) Kaposi sarcoma|59815030|0-14|All Races|Male and Female|2001|||
2.6|3.5|3.0|184|IX(d) Other specified soft tissue sarcomas|59815030|0-14|All Races|Male and Female|2001|||
0.8|1.3|1.0|60|IX(e) Unspecified soft tissue sarcomas|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|Not classified by ICCC|59815030|0-14|All Races|Male and Female|2001|||
3.9|5.0|4.4|266|V Retinoblastoma|59815030|0-14|All Races|Male and Female|2001|||
7.9|9.4|8.6|512|VI Renal tumors|59815030|0-14|All Races|Male and Female|2001|||
7.5|9.0|8.2|489|VI(a) Nephroblastoma and other nonepithelial renal tumors|59815030|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|21|VI(b) Renal carcinomas|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|59815030|0-14|All Races|Male and Female|2001|||
1.8|2.5|2.1|126|VII Hepatic tumors|59815030|0-14|All Races|Male and Female|2001|||
1.4|2.0|1.7|100|VII(a) Hepatoblastoma|59815030|0-14|All Races|Male and Female|2001|||
0.3|0.6|0.4|25|VII(b) Hepatic carcinomas|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|59815030|0-14|All Races|Male and Female|2001|||
6.2|7.6|6.9|416|VIII Malignant bone tumors|59815030|0-14|All Races|Male and Female|2001|||
3.3|4.3|3.8|230|VIII(a) Osteosarcomas|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(b) Chondrosarcomas|59815030|0-14|All Races|Male and Female|2001|||
2.2|3.0|2.6|156|VIII(c) Ewing tumor and related sarcomas of bone|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|59815030|0-14|All Races|Male and Female|2001|||
4.5|5.6|5.0|303|X Germ cell, trophoblastic tumors & neoplasms of gonads|59815030|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.3|79|X(a) Intracranial & intraspinal germ cell tumors|59815030|0-14|All Races|Male and Female|2001|||
1.1|1.7|1.4|84|X(b) Malignant extracranial & extragonadal germ cell tumors|59815030|0-14|All Races|Male and Female|2001|||
1.7|2.4|2.0|121|X(c) Malignant gonadal germ cell tumors|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|X(d) Gonadal carcinomas|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|59815030|0-14|All Races|Male and Female|2001|||
6.0|7.3|6.6|400|XI Other malignant epithelial neoplasms and malignant melanomas|59815030|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|17|XI(a) Adrenocortical carcinomas|59815030|0-14|All Races|Male and Female|2001|||
1.9|2.7|2.3|140|XI(b) Thyroid carcinomas|59815030|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|59815030|0-14|All Races|Male and Female|2001|||
1.7|2.4|2.0|121|XI(d) Malignant melanomas|59815030|0-14|All Races|Male and Female|2001|||
~|~|~|~|XI(e) Skin carcinomas|59815030|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.7|100|XI(f) Other and unspecified carcinomas|59815030|0-14|All Races|Male and Female|2001|||
0.5|1.0|0.7|43|XII Other and unspecified malignant neoplasms|59815030|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|22|XII(a) Other specified malignant tumors|59815030|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.4|21|XII(b) Other unspecified malignant tumors|59815030|0-14|All Races|Male and Female|2001|||
151.8|158.1|154.9|9269|All ICCC Groups Combined|59834318|0-14|All Races|Male and Female|2002|||
47.6|51.2|49.4|2942|I Leukemias, myeloproliferative & myelodysplastic diseases|59834318|0-14|All Races|Male and Female|2002|||
35.5|38.6|37.0|2201|I(a) Lymphoid leukemias|59834318|0-14|All Races|Male and Female|2002|||
7.2|8.6|7.9|474|I(b) Acute myeloid leukemias|59834318|0-14|All Races|Male and Female|2002|||
1.3|1.9|1.6|94|I(c) Chronic myeloproliferative diseases|59834318|0-14|All Races|Male and Female|2002|||
1.3|1.9|1.6|95|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59834318|0-14|All Races|Male and Female|2002|||
1.0|1.6|1.3|78|I(e) Unspecified and other specified leukemias|59834318|0-14|All Races|Male and Female|2002|||
14.7|16.7|15.6|943|II Lymphomas and reticuloendothelial neoplasms|59834318|0-14|All Races|Male and Female|2002|||
4.9|6.1|5.5|335|II(a) Hodgkin lymphomas|59834318|0-14|All Races|Male and Female|2002|||
5.5|6.7|6.1|365|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59834318|0-14|All Races|Male and Female|2002|||
2.3|3.2|2.7|163|II(c) Burkitt lymphoma|59834318|0-14|All Races|Male and Female|2002|||
0.9|1.4|1.1|68|II(d) Miscellaneous lymphoreticular neoplasms|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|II(e) Unspecified lymphomas|59834318|0-14|All Races|Male and Female|2002|||
33.0|36.0|34.5|2054|III CNS and misc intracranial and intraspinal neoplasms|59834318|0-14|All Races|Male and Female|2002|||
3.1|4.1|3.6|214|III(a) Ependymomas and choroid plexus tumor|59834318|0-14|All Races|Male and Female|2002|||
15.4|17.4|16.4|977|III(b) Astrocytomas|59834318|0-14|All Races|Male and Female|2002|||
6.7|8.1|7.4|441|III(c) Intracranial and intraspinal embryonal tumors|59834318|0-14|All Races|Male and Female|2002|||
5.3|6.6|6.0|354|III(d) Other gliomas|59834318|0-14|All Races|Male and Female|2002|||
0.5|1.0|0.7|43|III(e) Other specified intracranial & intraspinal neoplasms|59834318|0-14|All Races|Male and Female|2002|||
0.3|0.6|0.4|25|III(f) Unspecified intracranial and intraspinal neoplasms|59834318|0-14|All Races|Male and Female|2002|||
10.2|11.9|11.0|659|IV Neuroblastoma and other peripheral nervous cell tumors|59834318|0-14|All Races|Male and Female|2002|||
10.1|11.8|10.9|651|IV(a) Neuroblastoma and ganglioneuroblastoma|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|59834318|0-14|All Races|Male and Female|2002|||
10.0|11.7|10.9|651|IX Soft tissue and other extraosseous sarcomas|59834318|0-14|All Races|Male and Female|2002|||
4.8|6.0|5.4|319|IX(a) Rhabdomyosarcomas|59834318|0-14|All Races|Male and Female|2002|||
0.9|1.4|1.1|69|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|IX(c) Kaposi sarcoma|59834318|0-14|All Races|Male and Female|2002|||
3.0|3.9|3.4|208|IX(d) Other specified soft tissue sarcomas|59834318|0-14|All Races|Male and Female|2002|||
0.7|1.2|0.9|55|IX(e) Unspecified soft tissue sarcomas|59834318|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|20|Not classified by ICCC|59834318|0-14|All Races|Male and Female|2002|||
3.3|4.3|3.7|224|V Retinoblastoma|59834318|0-14|All Races|Male and Female|2002|||
7.6|9.0|8.3|491|VI Renal tumors|59834318|0-14|All Races|Male and Female|2002|||
7.3|8.8|8.1|478|VI(a) Nephroblastoma and other nonepithelial renal tumors|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|VI(b) Renal carcinomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|59834318|0-14|All Races|Male and Female|2002|||
1.6|2.3|1.9|114|VII Hepatic tumors|59834318|0-14|All Races|Male and Female|2002|||
1.2|1.9|1.5|92|VII(a) Hepatoblastoma|59834318|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|21|VII(b) Hepatic carcinomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|59834318|0-14|All Races|Male and Female|2002|||
6.2|7.6|6.9|417|VIII Malignant bone tumors|59834318|0-14|All Races|Male and Female|2002|||
3.2|4.2|3.7|223|VIII(a) Osteosarcomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|VIII(b) Chondrosarcomas|59834318|0-14|All Races|Male and Female|2002|||
2.2|3.1|2.6|157|VIII(c) Ewing tumor and related sarcomas of bone|59834318|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|59834318|0-14|All Races|Male and Female|2002|||
4.7|5.9|5.3|318|X Germ cell, trophoblastic tumors & neoplasms of gonads|59834318|0-14|All Races|Male and Female|2002|||
1.1|1.7|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|59834318|0-14|All Races|Male and Female|2002|||
1.2|1.8|1.5|88|X(b) Malignant extracranial & extragonadal germ cell tumors|59834318|0-14|All Races|Male and Female|2002|||
1.9|2.6|2.2|134|X(c) Malignant gonadal germ cell tumors|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|X(d) Gonadal carcinomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|59834318|0-14|All Races|Male and Female|2002|||
6.0|7.3|6.6|400|XI Other malignant epithelial neoplasms and malignant melanomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(a) Adrenocortical carcinomas|59834318|0-14|All Races|Male and Female|2002|||
1.7|2.4|2.0|122|XI(b) Thyroid carcinomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|59834318|0-14|All Races|Male and Female|2002|||
1.9|2.7|2.3|140|XI(d) Malignant melanomas|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(e) Skin carcinomas|59834318|0-14|All Races|Male and Female|2002|||
1.4|2.1|1.7|104|XI(f) Other and unspecified carcinomas|59834318|0-14|All Races|Male and Female|2002|||
0.4|0.8|0.6|36|XII Other and unspecified malignant neoplasms|59834318|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|21|XII(a) Other specified malignant tumors|59834318|0-14|All Races|Male and Female|2002|||
~|~|~|~|XII(b) Other unspecified malignant tumors|59834318|0-14|All Races|Male and Female|2002|||
149.0|155.2|152.1|9239|All ICCC Groups Combined|60628650|0-14|All Races|Male and Female|2003|||
45.9|49.4|47.6|2877|I Leukemias, myeloproliferative & myelodysplastic diseases|60628650|0-14|All Races|Male and Female|2003|||
34.4|37.5|35.9|2166|I(a) Lymphoid leukemias|60628650|0-14|All Races|Male and Female|2003|||
6.8|8.2|7.5|456|I(b) Acute myeloid leukemias|60628650|0-14|All Races|Male and Female|2003|||
1.2|1.8|1.5|89|I(c) Chronic myeloproliferative diseases|60628650|0-14|All Races|Male and Female|2003|||
