AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
<1|1.2|2.1|1.6|63|Incidence|3931141|Kidney and Renal Pelvis|2013
1-4|~|~|~|~|Incidence|15922775|Larynx|2013
10-14|~|~|~|~|Incidence|20657299|Larynx|2013
15-19|~|~|~|~|Incidence|21191148|Larynx|2013
5-9|~|~|~|~|Incidence|20574674|Larynx|2013
<1|~|~|~|~|Incidence|3931141|Larynx|2013
1-4|7.9|8.8|8.4|1331|Incidence|15922775|Leukemias|2013
10-14|2.8|3.2|3.0|619|Incidence|20657299|Leukemias|2013
15-19|2.8|3.2|3.0|636|Incidence|21191148|Leukemias|2013
5-9|3.8|4.4|4.1|848|Incidence|20574674|Leukemias|2013
<1|3.5|4.8|4.1|160|Incidence|3931141|Leukemias|2013
1-4|0.4|0.7|0.6|88|Incidence|15922775|Liver and Intrahepatic Bile Duct|2013
10-14|0.1|0.1|0.1|19|Incidence|20657299|Liver and Intrahepatic Bile Duct|2013
15-19|0.1|0.2|0.1|28|Incidence|21191148|Liver and Intrahepatic Bile Duct|2013
5-9|0.1|0.2|0.1|28|Incidence|20574674|Liver and Intrahepatic Bile Duct|2013
<1|0.9|1.6|1.2|49|Incidence|3931141|Liver and Intrahepatic Bile Duct|2013
1-4|~|~|~|~|Incidence|15922775|Lung and Bronchus|2013
10-14|~|~|~|~|Incidence|20657299|Lung and Bronchus|2013
15-19|0.1|0.2|0.2|38|Incidence|21191148|Lung and Bronchus|2013
5-9|~|~|~|~|Incidence|20574674|Lung and Bronchus|2013
<1|~|~|~|~|Incidence|3931141|Lung and Bronchus|2013
1-4|~|~|~|~|Incidence|7788457|Male and Female Breast|2013
10-14|~|~|~|~|Incidence|10109323|Male and Female Breast|2013
15-19|~|~|~|~|Incidence|10335846|Male and Female Breast|2013
5-9|~|~|~|~|Incidence|10067740|Male and Female Breast|2013
<1|~|~|~|~|Incidence|1921613|Male and Female Breast|2013
1-4|~|~|~|~|Incidence|7788457|Male and Female Breast, <i>in situ</i>|2013
10-14|~|~|~|~|Incidence|10109323|Male and Female Breast, <i>in situ</i>|2013
15-19|~|~|~|~|Incidence|10335846|Male and Female Breast, <i>in situ</i>|2013
5-9|~|~|~|~|Incidence|10067740|Male and Female Breast, <i>in situ</i>|2013
<1|~|~|~|~|Incidence|1921613|Male and Female Breast, <i>in situ</i>|2013
1-4|~|~|~|~|Incidence|15922775|Melanomas of the Skin|2013
10-14|0.2|0.3|0.3|55|Incidence|20657299|Melanomas of the Skin|2013
15-19|0.9|1.1|1.0|212|Incidence|21191148|Melanomas of the Skin|2013
5-9|0.1|0.3|0.2|39|Incidence|20574674|Melanomas of the Skin|2013
<1|~|~|~|~|Incidence|3931141|Melanomas of the Skin|2013
1-4|~|~|~|~|Incidence|15922775|Mesothelioma|2013
10-14|~|~|~|~|Incidence|20657299|Mesothelioma|2013
15-19|~|~|~|~|Incidence|21191148|Mesothelioma|2013
5-9|~|~|~|~|Incidence|20574674|Mesothelioma|2013
<1|~|~|~|~|Incidence|3931141|Mesothelioma|2013
1-4|~|~|~|~|Incidence|15922775|Myeloma|2013
10-14|~|~|~|~|Incidence|20657299|Myeloma|2013
15-19|~|~|~|~|Incidence|21191148|Myeloma|2013
5-9|~|~|~|~|Incidence|20574674|Myeloma|2013
<1|~|~|~|~|Incidence|3931141|Myeloma|2013
1-4|0.7|1.0|0.8|129|Incidence|15922775|Non-Hodgkin Lymphoma|2013
10-14|1.1|1.4|1.3|262|Incidence|20657299|Non-Hodgkin Lymphoma|2013
15-19|1.5|1.9|1.7|354|Incidence|21191148|Non-Hodgkin Lymphoma|2013
5-9|0.8|1.1|0.9|193|Incidence|20574674|Non-Hodgkin Lymphoma|2013
<1|~|~|~|~|Incidence|3931141|Non-Hodgkin Lymphoma|2013
1-4|~|~|~|~|Incidence|15922775|Oral Cavity and Pharynx|2013
10-14|0.3|0.4|0.3|72|Incidence|20657299|Oral Cavity and Pharynx|2013
15-19|0.3|0.5|0.4|85|Incidence|21191148|Oral Cavity and Pharynx|2013
5-9|0.1|0.2|0.1|21|Incidence|20574674|Oral Cavity and Pharynx|2013
<1|~|~|~|~|Incidence|3931141|Oral Cavity and Pharynx|2013
1-4|~|~|~|~|Incidence|7788457|Ovary|2013
10-14|0.7|1.1|0.9|87|Incidence|10109323|Ovary|2013
15-19|1.2|1.7|1.4|147|Incidence|10335846|Ovary|2013
5-9|0.2|0.4|0.2|24|Incidence|10067740|Ovary|2013
<1|~|~|~|~|Incidence|1921613|Ovary|2013
1-4|~|~|~|~|Incidence|15922775|Pancreas|2013
10-14|~|~|~|~|Incidence|20657299|Pancreas|2013
15-19|~|~|~|~|Incidence|21191148|Pancreas|2013
5-9|~|~|~|~|Incidence|20574674|Pancreas|2013
<1|~|~|~|~|Incidence|3931141|Pancreas|2013
1-4|~|~|~|~|Incidence|8134318|Prostate|2013
10-14|~|~|~|~|Incidence|10547976|Prostate|2013
15-19|~|~|~|~|Incidence|10855302|Prostate|2013
5-9|~|~|~|~|Incidence|10506934|Prostate|2013
<1|~|~|~|~|Incidence|2009528|Prostate|2013
1-4|~|~|~|~|Incidence|15922775|Stomach|2013
10-14|~|~|~|~|Incidence|20657299|Stomach|2013
15-19|~|~|~|~|Incidence|21191148|Stomach|2013
5-9|~|~|~|~|Incidence|20574674|Stomach|2013
<1|~|~|~|~|Incidence|3931141|Stomach|2013
1-4|0.2|0.5|0.3|25|Incidence|8134318|Testis|2013
10-14|0.1|0.3|0.2|19|Incidence|10547976|Testis|2013
15-19|3.4|4.1|3.7|404|Incidence|10855302|Testis|2013
5-9|~|~|~|~|Incidence|10506934|Testis|2013
<1|0.6|1.6|1.0|21|Incidence|2009528|Testis|2013
1-4|~|~|~|~|Incidence|15922775|Thyroid|2013
10-14|0.8|1.0|0.9|181|Incidence|20657299|Thyroid|2013
15-19|2.4|2.9|2.7|564|Incidence|21191148|Thyroid|2013
5-9|0.1|0.2|0.2|33|Incidence|20574674|Thyroid|2013
<1|~|~|~|~|Incidence|3931141|Thyroid|2013
1-4|~|~|~|~|Incidence|15922775|Urinary Bladder|2013
10-14|~|~|~|~|Incidence|20657299|Urinary Bladder|2013
15-19|0.1|0.1|0.1|18|Incidence|21191148|Urinary Bladder|2013
5-9|~|~|~|~|Incidence|20574674|Urinary Bladder|2013
<1|~|~|~|~|Incidence|3931141|Urinary Bladder|2013
1-4|1.8|2.3|2.1|328|Mortality|15922775|All Cancer Sites Combined|2013
10-14|2.0|2.4|2.2|448|Mortality|20657299|All Cancer Sites Combined|2013
15-19|2.7|3.2|3.0|627|Mortality|21191148|All Cancer Sites Combined|2013
5-9|2.0|2.4|2.2|447|Mortality|20574674|All Cancer Sites Combined|2013
<1|1.3|2.1|1.6|64|Mortality|3931141|All Cancer Sites Combined|2013
1-4|0.5|0.7|0.6|92|Mortality|15922775|Brain and Other Nervous System|2013
10-14|0.5|0.7|0.6|129|Mortality|20657299|Brain and Other Nervous System|2013
15-19|0.5|0.7|0.6|119|Mortality|21191148|Brain and Other Nervous System|2013
5-9|0.8|1.1|0.9|193|Mortality|20574674|Brain and Other Nervous System|2013
<1|0.4|0.9|0.6|23|Mortality|3931141|Brain and Other Nervous System|2013
1-4|~|~|~|~|Mortality|7788457|Cervix|2013
10-14|~|~|~|~|Mortality|10109323|Cervix|2013
15-19|~|~|~|~|Mortality|10335846|Cervix|2013
5-9|~|~|~|~|Mortality|10067740|Cervix|2013
<1|~|~|~|~|Mortality|1921613|Cervix|2013
1-4|~|~|~|~|Mortality|15922775|Colon and Rectum|2013
10-14|~|~|~|~|Mortality|20657299|Colon and Rectum|2013
15-19|~|~|~|~|Mortality|21191148|Colon and Rectum|2013
5-9|~|~|~|~|Mortality|20574674|Colon and Rectum|2013
<1|~|~|~|~|Mortality|3931141|Colon and Rectum|2013
1-4|~|~|~|~|Mortality|7788457|Corpus and Uterus, NOS|2013
10-14|~|~|~|~|Mortality|10109323|Corpus and Uterus, NOS|2013
15-19|~|~|~|~|Mortality|10335846|Corpus and Uterus, NOS|2013
5-9|~|~|~|~|Mortality|10067740|Corpus and Uterus, NOS|2013
<1|~|~|~|~|Mortality|1921613|Corpus and Uterus, NOS|2013
1-4|~|~|~|~|Mortality|15922775|Esophagus|2013
10-14|~|~|~|~|Mortality|20657299|Esophagus|2013
15-19|~|~|~|~|Mortality|21191148|Esophagus|2013
5-9|~|~|~|~|Mortality|20574674|Esophagus|2013
<1|~|~|~|~|Mortality|3931141|Esophagus|2013
1-4|~|~|~|~|Mortality|7788457|Female Breast|2013
10-14|~|~|~|~|Mortality|10109323|Female Breast|2013
15-19|~|~|~|~|Mortality|10335846|Female Breast|2013
5-9|~|~|~|~|Mortality|10067740|Female Breast|2013
<1|~|~|~|~|Mortality|1921613|Female Breast|2013
1-4|~|~|~|~|Mortality|15922775|Hodgkin Lymphoma|2013
10-14|~|~|~|~|Mortality|20657299|Hodgkin Lymphoma|2013
15-19|~|~|~|~|Mortality|21191148|Hodgkin Lymphoma|2013
5-9|~|~|~|~|Mortality|20574674|Hodgkin Lymphoma|2013
<1|~|~|~|~|Mortality|3931141|Hodgkin Lymphoma|2013
1-4|.|.|.|.|Mortality|15922775|Kaposi Sarcoma|2013
10-14|.|.|.|.|Mortality|20657299|Kaposi Sarcoma|2013
15-19|.|.|.|.|Mortality|21191148|Kaposi Sarcoma|2013
5-9|.|.|.|.|Mortality|20574674|Kaposi Sarcoma|2013
<1|.|.|.|.|Mortality|3931141|Kaposi Sarcoma|2013
1-4|0.1|0.2|0.1|17|Mortality|15922775|Kidney and Renal Pelvis|2013
10-14|~|~|~|~|Mortality|20657299|Kidney and Renal Pelvis|2013
15-19|~|~|~|~|Mortality|21191148|Kidney and Renal Pelvis|2013
5-9|0.0|0.1|0.1|17|Mortality|20574674|Kidney and Renal Pelvis|2013
<1|~|~|~|~|Mortality|3931141|Kidney and Renal Pelvis|2013
1-4|~|~|~|~|Mortality|15922775|Larynx|2013
10-14|~|~|~|~|Mortality|20657299|Larynx|2013
15-19|~|~|~|~|Mortality|21191148|Larynx|2013
5-9|~|~|~|~|Mortality|20574674|Larynx|2013
<1|~|~|~|~|Mortality|3931141|Larynx|2013
1-4|0.5|0.7|0.6|96|Mortality|15922775|Leukemias|2013
10-14|0.6|0.8|0.7|139|Mortality|20657299|Leukemias|2013
15-19|0.6|0.9|0.8|159|Mortality|21191148|Leukemias|2013
5-9|0.4|0.6|0.5|94|Mortality|20574674|Leukemias|2013
<1|0.3|0.8|0.5|21|Mortality|3931141|Leukemias|2013
1-4|0.1|0.2|0.1|19|Mortality|15922775|Liver and Intrahepatic Bile Duct|2013
10-14|~|~|~|~|Mortality|20657299|Liver and Intrahepatic Bile Duct|2013
15-19|~|~|~|~|Mortality|21191148|Liver and Intrahepatic Bile Duct|2013
5-9|~|~|~|~|Mortality|20574674|Liver and Intrahepatic Bile Duct|2013
<1|~|~|~|~|Mortality|3931141|Liver and Intrahepatic Bile Duct|2013
1-4|~|~|~|~|Mortality|15922775|Lung and Bronchus|2013
10-14|~|~|~|~|Mortality|20657299|Lung and Bronchus|2013
15-19|~|~|~|~|Mortality|21191148|Lung and Bronchus|2013
5-9|~|~|~|~|Mortality|20574674|Lung and Bronchus|2013
<1|~|~|~|~|Mortality|3931141|Lung and Bronchus|2013
1-4|~|~|~|~|Mortality|7788457|Male and Female Breast|2013
10-14|~|~|~|~|Mortality|10109323|Male and Female Breast|2013
15-19|~|~|~|~|Mortality|10335846|Male and Female Breast|2013
5-9|~|~|~|~|Mortality|10067740|Male and Female Breast|2013
<1|~|~|~|~|Mortality|1921613|Male and Female Breast|2013
1-4|~|~|~|~|Mortality|15922775|Melanomas of the Skin|2013
10-14|~|~|~|~|Mortality|20657299|Melanomas of the Skin|2013
15-19|~|~|~|~|Mortality|21191148|Melanomas of the Skin|2013
5-9|~|~|~|~|Mortality|20574674|Melanomas of the Skin|2013
<1|~|~|~|~|Mortality|3931141|Melanomas of the Skin|2013
1-4|~|~|~|~|Mortality|15922775|Mesothelioma|2013
10-14|~|~|~|~|Mortality|20657299|Mesothelioma|2013
15-19|~|~|~|~|Mortality|21191148|Mesothelioma|2013
5-9|~|~|~|~|Mortality|20574674|Mesothelioma|2013
<1|~|~|~|~|Mortality|3931141|Mesothelioma|2013
1-4|~|~|~|~|Mortality|15922775|Myeloma|2013
10-14|~|~|~|~|Mortality|20657299|Myeloma|2013
15-19|~|~|~|~|Mortality|21191148|Myeloma|2013
5-9|~|~|~|~|Mortality|20574674|Myeloma|2013
<1|~|~|~|~|Mortality|3931141|Myeloma|2013
1-4|~|~|~|~|Mortality|15922775|Non-Hodgkin Lymphoma|2013
10-14|0.0|0.1|0.1|17|Mortality|20657299|Non-Hodgkin Lymphoma|2013
15-19|0.1|0.2|0.1|31|Mortality|21191148|Non-Hodgkin Lymphoma|2013
5-9|~|~|~|~|Mortality|20574674|Non-Hodgkin Lymphoma|2013
<1|~|~|~|~|Mortality|3931141|Non-Hodgkin Lymphoma|2013
1-4|~|~|~|~|Mortality|15922775|Oral Cavity and Pharynx|2013
10-14|~|~|~|~|Mortality|20657299|Oral Cavity and Pharynx|2013
15-19|~|~|~|~|Mortality|21191148|Oral Cavity and Pharynx|2013
5-9|~|~|~|~|Mortality|20574674|Oral Cavity and Pharynx|2013
<1|~|~|~|~|Mortality|3931141|Oral Cavity and Pharynx|2013
1-4|~|~|~|~|Mortality|7788457|Ovary|2013
10-14|~|~|~|~|Mortality|10109323|Ovary|2013
15-19|~|~|~|~|Mortality|10335846|Ovary|2013
5-9|~|~|~|~|Mortality|10067740|Ovary|2013
<1|~|~|~|~|Mortality|1921613|Ovary|2013
1-4|~|~|~|~|Mortality|15922775|Pancreas|2013
10-14|~|~|~|~|Mortality|20657299|Pancreas|2013
15-19|~|~|~|~|Mortality|21191148|Pancreas|2013
5-9|~|~|~|~|Mortality|20574674|Pancreas|2013
<1|~|~|~|~|Mortality|3931141|Pancreas|2013
1-4|~|~|~|~|Mortality|8134318|Prostate|2013
10-14|~|~|~|~|Mortality|10547976|Prostate|2013
15-19|~|~|~|~|Mortality|10855302|Prostate|2013
5-9|~|~|~|~|Mortality|10506934|Prostate|2013
<1|~|~|~|~|Mortality|2009528|Prostate|2013
1-4|~|~|~|~|Mortality|15922775|Stomach|2013
10-14|~|~|~|~|Mortality|20657299|Stomach|2013
15-19|~|~|~|~|Mortality|21191148|Stomach|2013
5-9|~|~|~|~|Mortality|20574674|Stomach|2013
<1|~|~|~|~|Mortality|3931141|Stomach|2013
1-4|~|~|~|~|Mortality|8134318|Testis|2013
10-14|~|~|~|~|Mortality|10547976|Testis|2013
15-19|~|~|~|~|Mortality|10855302|Testis|2013
5-9|~|~|~|~|Mortality|10506934|Testis|2013
<1|~|~|~|~|Mortality|2009528|Testis|2013
1-4|~|~|~|~|Mortality|15922775|Thyroid|2013
10-14|~|~|~|~|Mortality|20657299|Thyroid|2013
15-19|~|~|~|~|Mortality|21191148|Thyroid|2013
5-9|~|~|~|~|Mortality|20574674|Thyroid|2013
<1|~|~|~|~|Mortality|3931141|Thyroid|2013
1-4|~|~|~|~|Mortality|15922775|Urinary Bladder|2013
10-14|~|~|~|~|Mortality|20657299|Urinary Bladder|2013
15-19|~|~|~|~|Mortality|21191148|Urinary Bladder|2013
5-9|~|~|~|~|Mortality|20574674|Urinary Bladder|2013
<1|~|~|~|~|Mortality|3931141|Urinary Bladder|2013
1-4|21.2|22.6|21.9|3484|Incidence|15922235|All Cancer Sites Combined|2014
10-14|14.3|15.4|14.9|3072|Incidence|20679895|All Cancer Sites Combined|2014
15-19|22.2|23.5|22.8|4809|Incidence|21076826|All Cancer Sites Combined|2014
5-9|12.8|13.8|13.3|2738|Incidence|20527408|All Cancer Sites Combined|2014
<1|25.9|29.2|27.5|1087|Incidence|3949775|All Cancer Sites Combined|2014
1-4|4.0|4.6|4.3|680|Incidence|15922235|Brain and Other Nervous System|2014
10-14|2.7|3.2|2.9|605|Incidence|20679895|Brain and Other Nervous System|2014
15-19|2.2|2.6|2.4|499|Incidence|21076826|Brain and Other Nervous System|2014
5-9|3.2|3.7|3.5|713|Incidence|20527408|Brain and Other Nervous System|2014
<1|3.4|4.6|3.9|156|Incidence|3949775|Brain and Other Nervous System|2014
1-4|~|~|~|~|Incidence|7786048|Cervix|2014
10-14|~|~|~|~|Incidence|10125790|Cervix|2014
15-19|~|~|~|~|Incidence|10289324|Cervix|2014
5-9|~|~|~|~|Incidence|10045869|Cervix|2014
<1|~|~|~|~|Incidence|1929449|Cervix|2014
1-4|~|~|~|~|Incidence|15922235|Colon and Rectum|2014
10-14|0.2|0.4|0.3|63|Incidence|20679895|Colon and Rectum|2014
15-19|0.6|0.8|0.7|146|Incidence|21076826|Colon and Rectum|2014
5-9|~|~|~|~|Incidence|20527408|Colon and Rectum|2014
<1|~|~|~|~|Incidence|3949775|Colon and Rectum|2014
1-4|~|~|~|~|Incidence|7786048|Corpus and Uterus, NOS|2014
10-14|~|~|~|~|Incidence|10125790|Corpus and Uterus, NOS|2014
15-19|~|~|~|~|Incidence|10289324|Corpus and Uterus, NOS|2014
5-9|~|~|~|~|Incidence|10045869|Corpus and Uterus, NOS|2014
<1|~|~|~|~|Incidence|1929449|Corpus and Uterus, NOS|2014
1-4|~|~|~|~|Incidence|15922235|Esophagus|2014
10-14|~|~|~|~|Incidence|20679895|Esophagus|2014
15-19|~|~|~|~|Incidence|21076826|Esophagus|2014
5-9|~|~|~|~|Incidence|20527408|Esophagus|2014
<1|~|~|~|~|Incidence|3949775|Esophagus|2014
1-4|~|~|~|~|Incidence|7786048|Female Breast|2014
10-14|~|~|~|~|Incidence|10125790|Female Breast|2014
15-19|~|~|~|~|Incidence|10289324|Female Breast|2014
5-9|~|~|~|~|Incidence|10045869|Female Breast|2014
<1|~|~|~|~|Incidence|1929449|Female Breast|2014
1-4|~|~|~|~|Incidence|7786048|Female Breast, <i>in situ</i>|2014
10-14|~|~|~|~|Incidence|10125790|Female Breast, <i>in situ</i>|2014
15-19|~|~|~|~|Incidence|10289324|Female Breast, <i>in situ</i>|2014
5-9|~|~|~|~|Incidence|10045869|Female Breast, <i>in situ</i>|2014
<1|~|~|~|~|Incidence|1929449|Female Breast, <i>in situ</i>|2014
1-4|~|~|~|~|Incidence|15922235|Hodgkin Lymphoma|2014
10-14|1.0|1.3|1.2|246|Incidence|20679895|Hodgkin Lymphoma|2014
15-19|2.8|3.3|3.1|644|Incidence|21076826|Hodgkin Lymphoma|2014
5-9|0.3|0.5|0.4|79|Incidence|20527408|Hodgkin Lymphoma|2014
<1|~|~|~|~|Incidence|3949775|Hodgkin Lymphoma|2014
1-4|~|~|~|~|Incidence|15922235|Kaposi Sarcoma|2014
10-14|~|~|~|~|Incidence|20679895|Kaposi Sarcoma|2014
15-19|~|~|~|~|Incidence|21076826|Kaposi Sarcoma|2014
5-9|~|~|~|~|Incidence|20527408|Kaposi Sarcoma|2014
<1|~|~|~|~|Incidence|3949775|Kaposi Sarcoma|2014
1-4|1.8|2.2|2.0|321|Incidence|15922235|Kidney and Renal Pelvis|2014
10-14|0.1|0.2|0.2|33|Incidence|20679895|Kidney and Renal Pelvis|2014
15-19|0.2|0.3|0.2|46|Incidence|21076826|Kidney and Renal Pelvis|2014
5-9|0.6|0.8|0.7|138|Incidence|20527408|Kidney and Renal Pelvis|2014
<1|1.4|2.2|1.8|70|Incidence|3949775|Kidney and Renal Pelvis|2014
1-4|~|~|~|~|Incidence|15922235|Larynx|2014
10-14|~|~|~|~|Incidence|20679895|Larynx|2014
15-19|~|~|~|~|Incidence|21076826|Larynx|2014
5-9|~|~|~|~|Incidence|20527408|Larynx|2014
<1|~|~|~|~|Incidence|3949775|Larynx|2014
1-4|8.0|8.9|8.4|1341|Incidence|15922235|Leukemias|2014
10-14|2.7|3.2|3.0|616|Incidence|20679895|Leukemias|2014
15-19|2.9|3.4|3.1|657|Incidence|21076826|Leukemias|2014
5-9|3.8|4.4|4.1|837|Incidence|20527408|Leukemias|2014
<1|3.2|4.4|3.7|148|Incidence|3949775|Leukemias|2014
1-4|0.5|0.8|0.6|100|Incidence|15922235|Liver and Intrahepatic Bile Duct|2014
10-14|0.1|0.2|0.1|22|Incidence|20679895|Liver and Intrahepatic Bile Duct|2014
15-19|0.1|0.2|0.1|24|Incidence|21076826|Liver and Intrahepatic Bile Duct|2014
5-9|0.1|0.2|0.1|22|Incidence|20527408|Liver and Intrahepatic Bile Duct|2014
<1|1.2|2.0|1.6|62|Incidence|3949775|Liver and Intrahepatic Bile Duct|2014
1-4|~|~|~|~|Incidence|15922235|Lung and Bronchus|2014
10-14|~|~|~|~|Incidence|20679895|Lung and Bronchus|2014
15-19|0.0|0.1|0.1|17|Incidence|21076826|Lung and Bronchus|2014
5-9|~|~|~|~|Incidence|20527408|Lung and Bronchus|2014
<1|~|~|~|~|Incidence|3949775|Lung and Bronchus|2014
1-4|~|~|~|~|Incidence|7786048|Male and Female Breast|2014
10-14|~|~|~|~|Incidence|10125790|Male and Female Breast|2014
15-19|~|~|~|~|Incidence|10289324|Male and Female Breast|2014
5-9|~|~|~|~|Incidence|10045869|Male and Female Breast|2014
<1|~|~|~|~|Incidence|1929449|Male and Female Breast|2014
1-4|~|~|~|~|Incidence|7786048|Male and Female Breast, <i>in situ</i>|2014
10-14|~|~|~|~|Incidence|10125790|Male and Female Breast, <i>in situ</i>|2014
15-19|~|~|~|~|Incidence|10289324|Male and Female Breast, <i>in situ</i>|2014
5-9|~|~|~|~|Incidence|10045869|Male and Female Breast, <i>in situ</i>|2014
<1|~|~|~|~|Incidence|1929449|Male and Female Breast, <i>in situ</i>|2014
1-4|0.1|0.2|0.2|26|Incidence|15922235|Melanomas of the Skin|2014
10-14|0.2|0.3|0.3|52|Incidence|20679895|Melanomas of the Skin|2014
15-19|0.8|1.0|0.9|189|Incidence|21076826|Melanomas of the Skin|2014
5-9|0.1|0.2|0.2|35|Incidence|20527408|Melanomas of the Skin|2014
<1|~|~|~|~|Incidence|3949775|Melanomas of the Skin|2014
1-4|~|~|~|~|Incidence|15922235|Mesothelioma|2014
10-14|~|~|~|~|Incidence|20679895|Mesothelioma|2014
15-19|~|~|~|~|Incidence|21076826|Mesothelioma|2014
5-9|~|~|~|~|Incidence|20527408|Mesothelioma|2014
<1|~|~|~|~|Incidence|3949775|Mesothelioma|2014
1-4|~|~|~|~|Incidence|15922235|Myeloma|2014
10-14|~|~|~|~|Incidence|20679895|Myeloma|2014
15-19|~|~|~|~|Incidence|21076826|Myeloma|2014
5-9|~|~|~|~|Incidence|20527408|Myeloma|2014
<1|~|~|~|~|Incidence|3949775|Myeloma|2014
1-4|0.7|0.9|0.8|125|Incidence|15922235|Non-Hodgkin Lymphoma|2014
10-14|1.3|1.6|1.5|302|Incidence|20679895|Non-Hodgkin Lymphoma|2014
15-19|1.9|2.2|2.0|430|Incidence|21076826|Non-Hodgkin Lymphoma|2014
5-9|1.0|1.3|1.2|241|Incidence|20527408|Non-Hodgkin Lymphoma|2014
<1|0.3|0.7|0.5|18|Incidence|3949775|Non-Hodgkin Lymphoma|2014
1-4|~|~|~|~|Incidence|15922235|Oral Cavity and Pharynx|2014
10-14|0.2|0.3|0.2|44|Incidence|20679895|Oral Cavity and Pharynx|2014
15-19|0.3|0.5|0.4|87|Incidence|21076826|Oral Cavity and Pharynx|2014
5-9|0.0|0.1|0.1|17|Incidence|20527408|Oral Cavity and Pharynx|2014
