AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|40176480|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Malignant|~|40176480|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Astrocytoma, NOS|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|93|39865121|Female|Astrocytoma, NOS|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Astrocytoma, NOS|2005|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|39998876|Female|Astrocytoma, NOS|2005|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Astrocytoma, NOS|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|89|40165421|Female|Astrocytoma, NOS|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Astrocytoma, NOS|2007|~|~|~
0-19|0.2|0.3|0.2|Malignant|86|40382360|Female|Astrocytoma, NOS|2007|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Astrocytoma, NOS|2008|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40576293|Female|Astrocytoma, NOS|2008|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Astrocytoma, NOS|2009|~|~|~
0-19|0.2|0.3|0.2|Malignant|96|40670476|Female|Astrocytoma, NOS|2009|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40634383|Female|Astrocytoma, NOS|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|95|40634383|Female|Astrocytoma, NOS|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|200037056|Female|Astrocytoma, NOS|2010-2014|~|~|~
0-19|0.2|0.2|0.2|Malignant|448|200037056|Female|Astrocytoma, NOS|2010-2014|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40110236|Female|Astrocytoma, NOS|2011|~|~|~
0-19|0.2|0.2|0.2|Malignant|81|40110236|Female|Astrocytoma, NOS|2011|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40311850|Female|Astrocytoma, NOS|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|82|40311850|Female|Astrocytoma, NOS|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40222979|Female|Astrocytoma, NOS|2013|~|~|~
0-19|0.2|0.3|0.2|Malignant|97|40222979|Female|Astrocytoma, NOS|2013|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40176480|Female|Astrocytoma, NOS|2014|~|~|~
0-19|0.2|0.3|0.2|Malignant|94|40176480|Female|Astrocytoma, NOS|2014|0.2|0.3|0.2
0-19|0.0|0.1|0.1|Benign/Borderline|29|39865121|Female|Choroid plexus|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39865121|Female|Choroid plexus|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|39998876|Female|Choroid plexus|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39998876|Female|Choroid plexus|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40165421|Female|Choroid plexus|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40165421|Female|Choroid plexus|2006|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|40382360|Female|Choroid plexus|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40382360|Female|Choroid plexus|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|42|40576293|Female|Choroid plexus|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40576293|Female|Choroid plexus|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|40670476|Female|Choroid plexus|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Choroid plexus|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40634383|Female|Choroid plexus|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40634383|Female|Choroid plexus|2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|124|200037056|Female|Choroid plexus|2010-2014|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|50|200037056|Female|Choroid plexus|2010-2014|0.0|0.0|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|26|40110236|Female|Choroid plexus|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40110236|Female|Choroid plexus|2011|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|24|40311850|Female|Choroid plexus|2012|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40311850|Female|Choroid plexus|2012|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40222979|Female|Choroid plexus|2013|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40222979|Female|Choroid plexus|2013|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|40176480|Female|Choroid plexus|2014|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40176480|Female|Choroid plexus|2014|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|82|39865121|Female|Craniopharyngioma|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39865121|Female|Craniopharyngioma|2004|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|77|39998876|Female|Craniopharyngioma|2005|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|39998876|Female|Craniopharyngioma|2005|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|76|40165421|Female|Craniopharyngioma|2006|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40165421|Female|Craniopharyngioma|2006|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|95|40382360|Female|Craniopharyngioma|2007|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40382360|Female|Craniopharyngioma|2007|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|63|40576293|Female|Craniopharyngioma|2008|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40576293|Female|Craniopharyngioma|2008|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|40670476|Female|Craniopharyngioma|2009|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40670476|Female|Craniopharyngioma|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|40634383|Female|Craniopharyngioma|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40634383|Female|Craniopharyngioma|2010|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|419|200037056|Female|Craniopharyngioma|2010-2014|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|200037056|Female|Craniopharyngioma|2010-2014|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|84|40110236|Female|Craniopharyngioma|2011|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40110236|Female|Craniopharyngioma|2011|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|40311850|Female|Craniopharyngioma|2012|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40311850|Female|Craniopharyngioma|2012|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|84|40222979|Female|Craniopharyngioma|2013|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40222979|Female|Craniopharyngioma|2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|83|40176480|Female|Craniopharyngioma|2014|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40176480|Female|Craniopharyngioma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Diffuse astrocytoma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|39865121|Female|Diffuse astrocytoma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Diffuse astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|39998876|Female|Diffuse astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Diffuse astrocytoma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40382360|Female|Diffuse astrocytoma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Diffuse astrocytoma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40576293|Female|Diffuse astrocytoma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Diffuse astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40670476|Female|Diffuse astrocytoma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40634383|Female|Diffuse astrocytoma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|.|40634383|Female|Diffuse astrocytoma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|200037056|Female|Diffuse astrocytoma|2010-2014|~|~|~
0-19|0.0|0.0|0.0|Malignant|49|200037056|Female|Diffuse astrocytoma|2010-2014|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40110236|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Malignant|~|40110236|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40311850|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Malignant|~|40311850|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40222979|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Malignant|~|40222979|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40176480|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Malignant|~|40176480|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
0-19|0.5|0.6|0.5|Malignant|217|39865121|Female|Embryonal/primitive/medulloblastoma|2004|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
0-19|0.4|0.5|0.5|Malignant|186|39998876|Female|Embryonal/primitive/medulloblastoma|2005|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
0-19|0.4|0.6|0.5|Malignant|202|40165421|Female|Embryonal/primitive/medulloblastoma|2006|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
0-19|0.5|0.6|0.6|Malignant|222|40382360|Female|Embryonal/primitive/medulloblastoma|2007|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
0-19|0.5|0.7|0.6|Malignant|232|40576293|Female|Embryonal/primitive/medulloblastoma|2008|0.5|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
0-19|0.4|0.6|0.5|Malignant|203|40670476|Female|Embryonal/primitive/medulloblastoma|2009|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40634383|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
0-19|0.4|0.5|0.4|Malignant|174|40634383|Female|Embryonal/primitive/medulloblastoma|2010|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|200037056|Female|Embryonal/primitive/medulloblastoma|2010-2014|~|~|~
0-19|0.4|0.5|0.5|Malignant|932|200037056|Female|Embryonal/primitive/medulloblastoma|2010-2014|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40110236|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
0-19|0.4|0.6|0.5|Malignant|193|40110236|Female|Embryonal/primitive/medulloblastoma|2011|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40311850|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
0-19|0.4|0.5|0.5|Malignant|181|40311850|Female|Embryonal/primitive/medulloblastoma|2012|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40222979|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
0-19|0.4|0.5|0.5|Malignant|186|40222979|Female|Embryonal/primitive/medulloblastoma|2013|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40176480|Female|Embryonal/primitive/medulloblastoma|2014|~|~|~
0-19|0.4|0.6|0.5|Malignant|206|40176480|Female|Embryonal/primitive/medulloblastoma|2014|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40634383|Female|Ependymoma variants|2010|~|~|~
0-19|~|~|~|Malignant|~|40634383|Female|Ependymoma variants|2010|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|74|200037056|Female|Ependymoma variants|2010-2014|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|200037056|Female|Ependymoma variants|2010-2014|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|40110236|Female|Ependymoma variants|2011|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40110236|Female|Ependymoma variants|2011|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|16|40311850|Female|Ependymoma variants|2012|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40311850|Female|Ependymoma variants|2012|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|40222979|Female|Ependymoma variants|2013|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40222979|Female|Ependymoma variants|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40176480|Female|Ependymoma variants|2014|~|~|~
0-19|~|~|~|Malignant|~|40176480|Female|Ependymoma variants|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|96|39865121|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
0-19|0.2|0.3|0.3|Malignant|111|39998876|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|97|40165421|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
0-19|0.1|0.2|0.2|Malignant|71|40382360|Female|Ependymoma/anaplastic ependymoma|2007|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
0-19|0.1|0.2|0.2|Malignant|75|40576293|Female|Ependymoma/anaplastic ependymoma|2008|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
0-19|0.2|0.2|0.2|Malignant|80|40670476|Female|Ependymoma/anaplastic ependymoma|2009|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40634383|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|91|40634383|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|200037056|Female|Ependymoma/anaplastic ependymoma|2010-2014|~|~|~
0-19|0.2|0.2|0.2|Malignant|445|200037056|Female|Ependymoma/anaplastic ependymoma|2010-2014|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40110236|Female|Ependymoma/anaplastic ependymoma|2011|~|~|~
0-19|0.2|0.3|0.2|Malignant|96|40110236|Female|Ependymoma/anaplastic ependymoma|2011|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40311850|Female|Ependymoma/anaplastic ependymoma|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|89|40311850|Female|Ependymoma/anaplastic ependymoma|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40222979|Female|Ependymoma/anaplastic ependymoma|2013|~|~|~
0-19|0.2|0.3|0.2|Malignant|87|40222979|Female|Ependymoma/anaplastic ependymoma|2013|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40176480|Female|Ependymoma/anaplastic ependymoma|2014|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40176480|Female|Ependymoma/anaplastic ependymoma|2014|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Germ Cell Tumors|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|42|39865121|Female|Germ Cell Tumors|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Germ Cell Tumors|2005|~|~|~
0-19|0.1|0.2|0.1|Malignant|47|39998876|Female|Germ Cell Tumors|2005|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|17|40165421|Female|Germ Cell Tumors|2006|0.0|0.1|0.0
0-19|0.0|0.1|0.1|Malignant|24|40165421|Female|Germ Cell Tumors|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Germ Cell Tumors|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|33|40382360|Female|Germ Cell Tumors|2007|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|17|40576293|Female|Germ Cell Tumors|2008|0.0|0.1|0.0
0-19|0.0|0.1|0.1|Malignant|28|40576293|Female|Germ Cell Tumors|2008|0.0|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|19|40670476|Female|Germ Cell Tumors|2009|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|43|40670476|Female|Germ Cell Tumors|2009|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|20|40634383|Female|Germ Cell Tumors|2010|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Malignant|52|40634383|Female|Germ Cell Tumors|2010|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|93|200037056|Female|Germ Cell Tumors|2010-2014|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|188|200037056|Female|Germ Cell Tumors|2010-2014|0.1|0.1|0.1
0-19|0.0|0.1|0.1|Benign/Borderline|.|40110236|Female|Germ Cell Tumors|2011|0.0|0.1|0.1
0-19|0.1|0.1|0.1|Malignant|38|40110236|Female|Germ Cell Tumors|2011|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40311850|Female|Germ Cell Tumors|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|40311850|Female|Germ Cell Tumors|2012|0.0|0.1|0.0
0-19|0.0|0.1|0.0|Benign/Borderline|19|40222979|Female|Germ Cell Tumors|2013|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Malignant|47|40222979|Female|Germ Cell Tumors|2013|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|20|40176480|Female|Germ Cell Tumors|2014|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|34|40176480|Female|Germ Cell Tumors|2014|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Glioblastoma|2004|~|~|~
